"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-27","20.80",",,W",,,"0.00","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","42","H,,S","46",",,W","36",",,W","  260",",,W","  260",",,W","29.1",",,W","36.9",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-28","17.67",",,W",,,"0.00","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","37","H,,S","40",",,W","34",",,W","  250",",,W","  250",",,W","28.0",",,W","32.0",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-29","11.63",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","38","H,,S","46",",,W","30",",,W","  270",",,W","  270",",,W","21.9",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-30","12.53",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","36","H,,S","39",",,W","30",",,W","  310",",,W","  310",",,W","23.0",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-01-31","6.26",",,W",,,"0.05",",,W,2400","0.6",",,W,2400","0.0",",,W,2400","30","H,,S","32",",,W","26",",,W","   90",",,W","  320",",,W","14.1",",,W","19.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-01","12.53",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400","38","H,,S","48",",,W","27",",,W","  270",",,W","  270",",,W","21.9",",,W","29.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-02","11.86",",,W",,,"0.00","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","40","H,,S","47",",,W","32",",,W","  290",",,W","  290",",,W","25.1",",,W","32.0",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-03","13.20",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","32","H,,S","34",",,W","26",",,W","  310",",,W","  280",",,W","29.1",",,W","35.1",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-04","14.99",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","29","H,,S","35",",,W","23",",,W","  320",",,W","  290",",,W","30.0",",,W","36.9",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-05","12.97",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","35","H,,S","42",",,W","30",",,W","  210",",,W","  210",",,W","25.1",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-06","10.74",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","42","H,,S","48",",,W","36",",,W","  300",",,W","  290",",,W","21.9",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-07","6.93",",,W",,,"0.10",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","40","H,,S","44",",,W","35",",,W","   30",",,W","   30",",,W","16.1",",,W","18.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-08","8.72",",,W",,,"0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","48","H,,S","65",",,W","39",",,W","  360",",,W","  350",",,W","19.9",",,W","23.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
